date;tmin;tmax
2004-06-01;3.1;13.6
2004-06-02;4.0;14.2
2004-06-03;3.6;13.4
2004-06-04;8.1;10.5
2004-06-05;7.5;11.4
2004-06-06;6.0;14.2
2004-06-07;5.0;18.2
2004-06-08;8.3;23.2
2004-06-09;12.0;24.8
2004-06-10;14.0;25.8
2004-06-11;14.0;25.2
2004-06-12;12.0;19.6
2004-06-13;1.5;12.6
2004-06-14;7.1;14.4
2004-06-15;7.0;18.2
2004-06-16;9.5;18.2
2004-06-17;8.0;17.6
2004-06-18;8.4;19.2
2004-06-19;8.2;18.4
2004-06-20;5.6;15.6
2004-06-21;5.8;15.8
2004-06-22;8.0;16.4
2004-06-23;8.3;18.4
2004-06-24;11.0;17.2
2004-06-25;7.8;16.0
2004-06-26;6.0;18.2
2004-06-27;11.0;23.5
2004-06-28;15.0;22.8
2004-06-29;11.0;16.4
2004-06-30;7.6;19.2
2004-07-01;13.5;21.0
2004-07-02;8.8;18.2
2004-07-03;5.0;16.6
2004-07-04;9.0;17.2
2004-07-05;10.2;23.2
2004-07-06;10.0;22.2
2004-07-07;9.8;20.2
2004-07-08;13.5;23.8
2004-07-09;17.0;21.0
2004-07-10;8.5;20.6
2004-07-11;3.0;9.0
2004-07-12;3.2;12.5
2004-07-13;3.4;16.3
2004-07-14;6.1;16.0
2004-07-15;9.5;18.4
2004-07-16;9.0;21.5
2004-07-17;9.0;21.6
2004-07-18;8.5;23.5
2004-07-19;12.4;22.7
2004-07-20;12.0;24.1
2004-07-21;14.0;24.4
2004-07-22;15.0;26.2
2004-07-23;14.2;25.8
2004-07-24;12.5;22.4
2004-07-25;12.0;20.3
2004-07-26;10.0;21.2
2004-07-27;9.0;15.6
2004-07-28;6.5;16.4
2004-07-29;7.5;17.8
2004-07-30;8.5;20.6
2004-07-31;12.0;24.2
2004-08-01;13.0;24.2
2004-08-02;11.2;22.4
2004-08-03;13.0;22.2
2004-08-04;13.3;21.8
2004-08-05;12.0;22.0
2004-08-06;12.3;22.4
2004-08-07;11.8;22.1
2004-08-08;11.0;19.2
2004-08-09;10.5;20.8
2004-08-10;9.0;20.5
2004-08-11;8.0;22.8
2004-08-12;15.0;22.4
2004-08-13;10.5;20.0
2004-08-14;8.2;19.3
2004-08-15;9.0;18.6
2004-08-16;12.0;20.3
2004-08-17;12.2;20.6
2004-08-18;13.0;22.0
2004-08-19;15.8;22.8
2004-08-20;17.0;20.4
2004-08-21;8.0;17.6
2004-08-22;6.0;17.0
2004-08-23;6.3;20.6
2004-08-24;6.4;20.2
2004-08-25;6.0;17.5
2004-08-26;6.2;16.8
2004-08-27;6.2;17.2
2004-08-28;6.6;19.1
2004-08-29;6.0;19.3
2004-08-30;6.4;19.4
2004-08-31;5.1;17.0
2004-09-01;5.0;11.8
2004-09-02;4.5;17.2
2004-09-03;9.1;21.3
2004-09-04;11.0;19.6
2004-09-05;10.0;19.1
2004-09-06;9.1;18.8
2004-09-07;7.0;17.2
2004-09-08;7.2;21.4
2004-09-09;6.5;20.6
2004-09-10;6.5;15.2
2004-09-11;5.0;17.8
2004-09-12;4.8;15.4
2004-09-13;7.5;15.6
2004-09-14;8.9;18.1
2004-09-15;11.0;16.0
2004-09-16;7.1;13.2
2004-09-17;7.0;11.3
2004-09-18;4.0;13.0
2004-09-19;5.5;17.4
2004-09-20;8.0;17.8
2004-09-21;9.5;16.5
2004-09-22;8.0;13.6
2004-09-23;6.2;17.8
2004-09-24;1.0;14.4
2004-09-25;1.0;9.8
2004-09-26;0.5;10.5
2004-09-27;2.0;13.2
2004-09-28;5.1;14.2
2004-09-29;5.0;15.4
2004-09-30;7.5;14.3
2004-10-01;8.6;14.6
2004-10-02;6.0;14.0
2004-10-03;6.3;15.0
2004-10-04;5.1;16.6
2004-10-05;8.5;20.2
2004-10-06;8.0;17.5
2004-10-07;8.3;15.6
2004-10-08;9.0;17.5
2004-10-09;10.0;15.6
2004-10-10;7.8;14.5
2004-10-11;1.0;7.8
2004-10-12;0.0;2.0
2004-10-13;0.0;1.4
2004-10-14;-0.5;2.5
2004-10-15;1.5;6.2
2004-10-16;-1.0;6.8
2004-10-17;-1.0;6.0
2004-10-18;1.0;9.2
2004-10-19;3.0;9.4
2004-10-20;5.0;12.2
2004-10-21;11.5;16.6
2004-10-22;9.0;13.8
2004-10-23;7.1;14.3
2004-10-24;5.5;15.6
2004-10-25;5.8;15.2
2004-10-26;10.0;13.6
2004-10-27;10.5;13.8
2004-10-28;10.0;13.6
2004-10-29;8.5;12.4
2004-10-30;11.0;14.3
2004-10-31;7.0;12.5
2004-11-01;7.4;14.8
2004-11-02;7.0;15.3
2004-11-03;7.2;14.4
2004-11-04;5.0;12.1
2004-11-05;3.0;7.2
2004-11-06;3.5;7.0
2004-11-07;-1.6;3.8
2004-11-08;-2.0;1.8
2004-11-09;-3.0;0.6
2004-11-10;-3.2;0.6
2004-11-11;-2.2;1.6
2004-11-12;0.0;4.1
2004-11-13;0.0;3.8
2004-11-14;-2.4;0.8
2004-11-15;-2.0;1.6
2004-11-16;-4.0;4.8
2004-11-17;-0.5;8.4
2004-11-18;-0.7;6.3
2004-11-19;-1.5;5.6
2004-11-20;-5.5;0.2
2004-11-21;-7.0;0.4
2004-11-22;-3.3;3.0
2004-11-23;-0.5;7.6
2004-11-24;-8.0;7.0
2004-11-25;-6.3;2.4
2004-11-26;-2.5;6.2
2004-11-27;-1.5;3.8
2004-11-28;-0.8;6.4
2004-11-29;2.0;6.0
2004-11-30;-0.5;5.1
2004-12-01;-1.0;5.3
2004-12-02;-1.5;6.8
2004-12-03;2.6;7.2
2004-12-04;0.3;2.6
2004-12-05;-0.7;1.8
2004-12-06;-0.5;4.0
2004-12-07;-3.0;6.4
2004-12-08;-3.5;4.5
2004-12-09;-5.6;1.3
2004-12-10;-5.8;0.9
2004-12-11;-3.5;2.6
2004-12-12;-1.0;5.0
2004-12-13;-3.0;3.5
2004-12-14;-3.0;3.1
2004-12-15;-3.5;5.2
2004-12-16;-3.6;3.6
2004-12-17;1.4;3.8
2004-12-18;-1.3;2.1
2004-12-19;-6.0;1.0
2004-12-20;-6.5;0.6
2004-12-21;-9.4;-5.2
2004-12-22;-10.0;-4.4
2004-12-23;-6.6;2.8
2004-12-24;-1.5;5.0
2004-12-25;0.0;4.6
2004-12-26;-0.6;4.5
2004-12-27;-0.4;4.1
2004-12-28;-2.0;0.4
2004-12-29;-6.1;0.1
2004-12-30;-8.0;-3.6
2004-12-31;-8.0;-3.2
2005-01-01;-8.0;1.4
2005-01-02;-4.0;4.2
2005-01-03;-6.2;0.8
2005-01-04;-4.0;4.1
2005-01-05;-0.5;7.2
2005-01-06;-1.5;5.6
2005-01-07;-2.0;5.4
2005-01-08;0.8;9.8
2005-01-09;-1.0;7.0
2005-01-10;-2.0;4.6
2005-01-11;0.0;5.8
2005-01-12;-3.0;4.6
2005-01-13;-3.5;3.2
2005-01-14;-4.5;2.8
2005-01-15;-8.5;-2.6
2005-01-16;-10.0;-3.6
2005-01-17;-10.0;-0.6
2005-01-18;-7.6;2.5
2005-01-19;-5.0;1.2
2005-01-20;-7.0;1.0
2005-01-21;-3.0;5.0
2005-01-22;-6.5;0.2
2005-01-23;-7.5;-1.0
2005-01-24;-9.0;-4.2
2005-01-25;-8.5;-6.0
2005-01-26;-9.8;-7.3
2005-01-27;-11.4;-6.3
2005-01-28;-12.5;-8.2
2005-01-29;-12.5;-8.0
2005-01-30;-14.3;-4.1
2005-01-31;-11.0;1.0
2005-02-01;-8.5;2.0
2005-02-02;-7.8;-0.4
2005-02-03;-4.1;0.0
2005-02-04;-6.0;-1.0
2005-02-05;-11.0;-5.0
2005-02-06;-14.2;-4.0
2005-02-07;-16.1;-5.2
2005-02-08;-15.9;-4.3
2005-02-09;-13.4;0.0
2005-02-10;-9.5;3.1
2005-02-11;-2.0;4.4
2005-02-12;0.0;3.2
2005-02-13;-3.0;2.6
2005-02-14;-6.3;1.0
2005-02-15;-8.6;-2.1
2005-02-16;-5.8;-1.3
2005-02-17;-9.1;-1.2
2005-02-18;-8.0;1.4
2005-02-19;-10.3;-0.9
2005-02-20;-8.4;-3.0
2005-02-21;-8.1;-4.3
2005-02-22;-8.5;-3.0
2005-02-23;-8.5;-3.0
2005-02-24;-9.2;-2.0
2005-02-25;-8.5;-1.4
2005-02-26;-7.4;-4.6
2005-02-27;-9.3;-4.8
2005-02-28;-16.5;-6.4
2005-03-01;-20.2;-7.4
2005-03-02;-17.5;-5.4
2005-03-03;-14.0;-3.2
2005-03-04;-7.6;-0.8
2005-03-05;-11.2;-1.0
2005-03-06;-11.5;-3.6
2005-03-07;-13.5;-4.0
2005-03-08;-13.5;2.0
2005-03-09;-6.1;3.5
2005-03-10;-7.4;0.2
2005-03-11;-11.2;0.0
2005-03-12;-2.0;1.0
2005-03-13;-7.6;4.2
2005-03-14;-3.0;6.2
2005-03-15;-1.2;8.4
2005-03-16;1.0;13.3
2005-03-17;3.1;13.2
2005-03-18;5.0;15.6
2005-03-19;6.0;11.6
2005-03-20;-3.5;9.2
2005-03-21;-1.5;5.2
2005-03-22;-0.2;7.6
2005-03-23;1.0;11.2
2005-03-24;2.5;11.6
2005-03-25;4.0;7.4
2005-03-26;2.5;8.8
2005-03-27;3.5;10.4
2005-03-28;4.0;11.6
2005-03-29;4.0;10.8
2005-03-30;2.0;7.6
